Year,113 Cause Name,Cause Name,State,Deaths,Population,Crude Rate,Age Adjusted Rate
1999,Tuberculosis (A16-A19),Tuberculosis,Alabama,16,4430141,,
1999,Septicemia (A40-A41),Septicemia,Alabama,691,4430141,15.6,15.6
1999,Viral hepatitis (B15-B19),Viral hepatitis,Alabama,63,4430141,1.4,1.4
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Alabama,177,4430141,4,4
1999,Malignant neoplasms (C00-C97),Cancer,Alabama,9506,4430141,214.6,210.9
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Alabama,237,4430141,5.3,5.3
1999,Anemias (D50-D64),Anemias,Alabama,110,4430141,2.5,2.5
1999,Diabetes mellitus (E10-E14),Diabetes,Alabama,1341,4430141,30.3,30
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,Alabama,85,4430141,1.9,1.9
1999,"Meningitis (G00,G03)",Meningitis,Alabama,11,4430141,,
1999,Parkinson disease (G20-G21),Parkinson disease,Alabama,207,4430141,4.7,4.7
1999,Alzheimer disease (G30),Alzheimer's disease,Alabama,772,4430141,17.4,17.8
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,13419,4430141,302.9,303
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Alabama,313,4430141,7.1,7.1
1999,Cerebrovascular diseases (I60-I69),Stroke,Alabama,3148,4430141,71.1,71.5
1999,Atherosclerosis (I70),Atherosclerosis,Alabama,215,4430141,4.9,4.9
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Alabama,224,4430141,5.1,5
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,1228,4430141,27.7,28.2
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,2179,4430141,49.2,48.6
1999,"Pneumoconioses and chemical effects (J60-J66,J68,U07.0)",Pneumoconioses and chemical effects,Alabama,20,4430141,0.5,0.5
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Alabama,306,4430141,6.9,7
1999,Peptic ulcer (K25-K28),Peptic ulcer,Alabama,60,4430141,1.4,1.3
1999,Diseases of appendix (K35-K38),Diseases of appendix,Alabama,10,4430141,,
1999,Hernia (K40-K46),Hernia,Alabama,24,4430141,0.5,0.5
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Alabama,412,4430141,9.3,9.2
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Alabama,51,4430141,1.2,1.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,979,4430141,22.1,22.2
1999,"Infections of kidney (N10-N12,N13.6,N15.1)",Infections of kidney,Alabama,20,4430141,0.5,0.4
1999,"Pregnancy, childbirth and the puerperium (O00-O99)","Pregnancy, childbirth and the puerperium",Alabama,10,4430141,,
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Alabama,309,4430141,7,7.3
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Alabama,180,4430141,4.1,4.1
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2313,4430141,52.2,52.2
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,555,4430141,12.5,12.5
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Alabama,438,4430141,9.9,9.9
1999,"Complications of medical and surgical care (Y40-Y84,Y88)",Complications of medical and surgical care,Alabama,56,4430141,1.3,1.3
1999,Septicemia (A40-A41),Septicemia,Alaska,27,624779,4.3,8.8
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Alaska,13,624779,,
1999,Malignant neoplasms (C00-C97),Cancer,Alaska,633,624779,101.3,190.5
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Alaska,21,624779,3.4,7.9
1999,Diabetes mellitus (E10-E14),Diabetes,Alaska,67,624779,10.7,23.8
1999,Parkinson disease (G20-G21),Parkinson disease,Alaska,15,624779,,
1999,Alzheimer disease (G30),Alzheimer's disease,Alaska,24,624779,3.8,11.9
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alaska,563,624779,90.1,198
1999,Cerebrovascular diseases (I60-I69),Stroke,Alaska,171,624779,27.4,71.2
1999,Atherosclerosis (I70),Atherosclerosis,Alaska,15,624779,,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alaska,46,624779,7.4,19.6
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Alaska,146,624779,23.4,56.4
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Alaska,10,624779,,
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Alaska,46,624779,7.4,9.9
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alaska,34,624779,5.4,13.4
1999,Certain conditions originating in the perinatal period (P00-P96),Conditions originated in perinatal period,Alaska,13,624779,,
1999,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Congenital malformations,Alaska,26,624779,4.2,4.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,294,624779,47.1,55.9
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alaska,96,624779,15.4,16.8
1999,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",Assault (homicide),Alaska,51,624779,8.2,8.1
1999,Tuberculosis (A16-A19),Tuberculosis,Arizona,21,5023823,0.4,0.4
1999,Septicemia (A40-A41),Septicemia,Arizona,346,5023823,6.9,7
1999,Viral hepatitis (B15-B19),Viral hepatitis,Arizona,96,5023823,1.9,2
1999,Human immunodeficiency virus (HIV) disease (B20-B24),Human immunodeficiency virus,Arizona,153,5023823,3,3.2
1999,Malignant neoplasms (C00-C97),Cancer,Arizona,9006,5023823,179.3,179.9
1999,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",In situ neoplasms,Arizona,216,5023823,4.3,4.4
1999,Anemias (D50-D64),Anemias,Arizona,53,5023823,1.1,1.1
1999,Diabetes mellitus (E10-E14),Diabetes,Arizona,1063,5023823,21.2,21.5
1999,Nutritional deficiencies (E40-E64),Nutritional deficiencies,Arizona,65,5023823,1.3,1.4
1999,"Meningitis (G00,G03)",Meningitis,Arizona,27,5023823,0.5,0.5
1999,Parkinson disease (G20-G21),Parkinson disease,Arizona,357,5023823,7.1,7.4
1999,Alzheimer disease (G30),Alzheimer's disease,Arizona,963,5023823,19.2,20.8
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,10800,5023823,215,223.1
1999,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",Essential hypertension,Arizona,240,5023823,4.8,5
1999,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2600,5023823,51.8,54.4
1999,Atherosclerosis (I70),Atherosclerosis,Arizona,278,5023823,5.5,5.9
1999,Aortic aneurysm and dissection (I71),Aortic aneurysm and dissection,Arizona,252,5023823,5,5.1
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Arizona,1287,5023823,25.6,27.2
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Arizona,2553,5023823,50.8,51.2
1999,"Pneumoconioses and chemical effects (J60-J66,J68,U07.0)",Pneumoconioses and chemical effects,Arizona,11,5023823,,
1999,Pneumonitis due to solids and liquids (J69),Pneumonitis due to solids and liquids,Arizona,218,5023823,4.3,4.6
1999,Peptic ulcer (K25-K28),Peptic ulcer,Arizona,90,5023823,1.8,1.8
1999,Hernia (K40-K46),Hernia,Arizona,19,5023823,,
1999,"Chronic liver disease and cirrhosis (K70,K73-K74)",Chronic liver disease and cirrhosis,Arizona,653,5023823,13,13.4
1999,Cholelithiasis and other disorders of gallbladder (K80-K82),Cholelithiasis and other disorders of gallbladder,Arizona,41,5023823,0.8,0.8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Arizona,544,5023823,10.8,11.1
