Race,Year,State,Deaths,Population,Crude_Rate,Age_Adj_Death_Rate
Black,1999,Alabama,102,1162673,8.8,11.4
Black,1999,Arizona,14,177619,,
Black,1999,Arkansas,27,424438,6.4,7.7
Black,1999,California,193,2502469,7.7,14.7
Black,1999,Colorado,24,183070,13.1,40.5
Black,1999,Connecticut,13,341801,,
Black,1999,District of Columbia,29,354021,8.2,7.9
Black,1999,Florida,133,2419083,5.5,11.2
Black,1999,Georgia,150,2343624,6.4,12.7
Black,1999,Illinois,121,1923260,6.3,11.4
Black,1999,Indiana,48,525171,9.1,16
Black,1999,Kansas,14,164954,,
Black,1999,Kentucky,15,303644,,
Black,1999,Louisiana,100,1461433,6.8,11.2
Black,1999,Maryland,79,1503532,5.3,10.8
Black,1999,Massachusetts,27,416891,6.5,15.5
Black,1999,Michigan,76,1455082,5.2,8.9
Black,1999,Mississippi,62,1038253,6,8.6
Black,1999,Missouri,46,642019,7.2,11.5
Black,1999,New Jersey,60,1231242,4.9,9.5
Black,1999,New York,51,3410768,1.5,2.7
Black,1999,North Carolina,182,1758625,10.3,15.7
Black,1999,Ohio,144,1347742,10.7,17.1
Black,1999,Oklahoma,27,277057,9.7,16.8
Black,1999,Pennsylvania,82,1279925,6.4,9.3
Black,1999,South Carolina,102,1192652,8.6,13.1
Black,1999,Tennessee,77,939791,8.2,13.1
Black,1999,Texas,157,2461293,6.4,11.7
Black,1999,Virginia,100,1422517,7,11.3
Black,1999,Washington,16,222319,,
Black,1999,Wisconsin,15,315230,,
Black,2000,Alabama,137,1167623,11.7,15.4
Black,2000,Arizona,13,183298,,
Black,2000,Arkansas,26,425864,6.1,8
Black,2000,California,196,2516935,7.8,14.5
Black,2000,Colorado,10,188402,,
Black,2000,Delaware,12,157045,,
Black,2000,District of Columbia,51,353632,14.4,13.8
Black,2000,Florida,161,2468478,6.5,13.1
Black,2000,Georgia,157,2395234,6.6,13.3
Black,2000,Illinois,141,1933802,7.3,13
Black,2000,Indiana,39,533138,7.3,12.6
Black,2000,Kansas,15,167269,,
Black,2000,Kentucky,26,307871,8.4,12.4
Black,2000,Louisiana,140,1468317,9.5,15.5
Black,2000,Maryland,94,1524783,6.2,12.8
Black,2000,Massachusetts,26,426216,6.1,14.4
Black,2000,Michigan,92,1463500,6.3,10.7
Black,2000,Mississippi,82,1041069,7.9,11.2
Black,2000,Missouri,50,649528,7.7,12.5
Black,2000,New Jersey,86,1241469,6.9,13.2
Black,2000,New York,72,3434584,2.1,3.7
Black,2000,North Carolina,208,1775634,11.7,17.9
Black,2000,Ohio,139,1359717,10.2,16.2
Black,2000,Oklahoma,19,279982,,
Black,2000,Pennsylvania,70,1293698,5.4,7.8
Black,2000,South Carolina,134,1199993,11.2,16.8
Black,2000,Tennessee,100,950101,10.5,17
Black,2000,Texas,212,2489759,8.5,15.8
Black,2000,Virginia,122,1438727,8.5,13.8
Black,2000,Washington,18,230096,,
Black,2000,West Virginia,12,60889,,
Black,2000,Wisconsin,21,322099,6.5,22.1
Black,2001,Alabama,160,1177479,13.6,18.2
Black,2001,Arizona,15,194201,,
Black,2001,Arkansas,34,429929,7.9,10.4
Black,2001,California,216,2547829,8.5,15.9
Black,2001,Colorado,14,196376,,
Black,2001,Connecticut,23,355440,6.5,14.4
Black,2001,District of Columbia,57,349536,16.3,15.6
Black,2001,Florida,137,2553214,5.4,11
Black,2001,Georgia,190,2468186,7.7,16.1
Black,2001,Illinois,169,1940249,8.7,15.9
Black,2001,Indiana,55,545974,10.1,17.7
Black,2001,Kansas,21,169671,12.4,22.7
Black,2001,Kentucky,36,314168,11.5,17.7
Black,2001,Louisiana,162,1475975,11,18.1
Black,2001,Maryland,135,1561491,8.6,17.8
Black,2001,Massachusetts,41,441594,9.3,21.9
Black,2001,Michigan,92,1477489,6.2,10.6
Black,2001,Mississippi,81,1046375,7.7,11.3
Black,2001,Missouri,46,661223,7,11.5
Black,2001,New Jersey,91,1257274,7.2,14.1
Black,2001,New York,62,3457658,1.8,3.2
Black,2001,North Carolina,221,1814985,12.2,18.9
Black,2001,Ohio,145,1381459,10.5,16.6
Black,2001,Oklahoma,33,282978,11.7,21.3
Black,2001,Pennsylvania,132,1311557,10.1,14.9
Black,2001,South Carolina,174,1214753,14.3,21.9
Black,2001,Tennessee,105,967178,10.9,18.2
Black,2001,Texas,225,2551645,8.8,17.1
Black,2001,Virginia,128,1462901,8.7,14.3
Black,2001,Washington,22,239036,9.2,28.7
Black,2001,West Virginia,14,61171,,
Black,2001,Wisconsin,18,331554,,
Black,2002,Alabama,156,1182591,13.2,17.9
Black,2002,Arizona,18,204176,,
Black,2002,Arkansas,33,432330,7.6,10.8
Black,2002,California,242,2567326,9.4,17.7
Black,2002,Colorado,18,201149,,
Black,2002,Connecticut,13,363022,,
Black,2002,District of Columbia,67,346080,19.4,18.5
Black,2002,Florida,210,2627531,8,16.5
Black,2002,Georgia,206,2522522,8.2,17.4
Black,2002,Illinois,176,1942243,9.1,16.3
Black,2002,Indiana,72,555017,13,23.5
Black,2002,Kansas,24,171790,14,26.6
Black,2002,Kentucky,35,318571,11,17.2
Black,2002,Louisiana,161,1485575,10.8,18.3
Black,2002,Maryland,143,1592833,9,18.9
Black,2002,Massachusetts,24,453484,5.3,12.5
Black,2002,Michigan,107,1483051,7.2,12.3
Black,2002,Mississippi,89,1049194,8.5,12.8
Black,2002,Missouri,44,669160,6.6,11.1
Black,2002,New Jersey,88,1268823,6.9,13.3
Black,2002,New York,83,3467250,2.4,4.2
Black,2002,North Carolina,243,1844291,13.2,20.7
Black,2002,Ohio,181,1397560,13,20.9
Black,2002,Oklahoma,28,285840,9.8,18.7
Black,2002,Oregon,11,74540,,
Black,2002,Pennsylvania,115,1329750,8.6,12.9
Black,2002,South Carolina,155,1222658,12.7,19.8
Black,2002,Tennessee,113,980256,11.5,19.8
Black,2002,Texas,219,2602237,8.4,16.5
Black,2002,Virginia,152,1480645,10.3,16.8
Black,2002,Washington,32,245869,13,40.8
Black,2002,Wisconsin,20,339499,5.9,19.7
Black,2003,Alabama,201,1190183,16.9,23.8
Black,2003,Arizona,33,213993,15.4,43.6
Black,2003,Arkansas,51,435025,11.7,16.6
Black,2003,California,289,2585567,11.2,20.8
Black,2003,Colorado,16,203049,,
Black,2003,Connecticut,11,370417,,
Black,2003,Delaware,17,171022,,
Black,2003,District of Columbia,67,340751,19.7,18.8
Black,2003,Florida,214,2700143,7.9,16.3
Black,2003,Georgia,230,2571491,8.9,19.3
Black,2003,Illinois,220,1942340,11.3,19.7
Black,2003,Indiana,70,565411,12.4,22.8
Black,2003,Kansas,24,173096,13.9,26.2
Black,2003,Kentucky,30,322254,9.3,15.1
Black,2003,Louisiana,195,1496609,13,22.3
Black,2003,Maryland,116,1621856,7.2,14.8
Black,2003,Massachusetts,24,464146,5.2,11.4
Black,2003,Michigan,113,1488590,7.6,12.9
Black,2003,Minnesota,12,231089,,
Black,2003,Mississippi,123,1053803,11.7,18.1
Black,2003,Missouri,52,676844,7.7,12.8
Black,2003,Nevada,19,181213,,
Black,2003,New Jersey,75,1279601,5.9,11.3
Black,2003,New York,93,3471007,2.7,4.5
Black,2003,North Carolina,265,1869334,14.2,22.2
Black,2003,Ohio,190,1413170,13.4,21.5
Black,2003,Oklahoma,34,287387,11.8,22.8
Black,2003,Oregon,12,76251,,
Black,2003,Pennsylvania,111,1349739,8.2,12.4
Black,2003,South Carolina,154,1231581,12.5,19.5
Black,2003,Tennessee,123,993443,12.4,21.9
Black,2003,Texas,269,2646739,10.2,20.7
