Race,Year,State,Population
Black,1999,Alabama,1162673
Black,1999,Alaska,26610
Black,1999,Arizona,177619
Black,1999,Arkansas,424438
Black,1999,California,2502469
Black,1999,Colorado,183070
Black,1999,Connecticut,341801
Black,1999,Delaware,153643
Black,1999,District of Columbia,354021
Black,1999,Florida,2419083
Black,1999,Georgia,2343624
Black,1999,Hawaii,31161
Black,1999,Idaho,6243
Black,1999,Illinois,1923260
Black,1999,Indiana,525171
Black,1999,Iowa,65291
Black,1999,Kansas,164954
Black,1999,Kentucky,303644
Black,1999,Louisiana,1461433
Black,1999,Maine,7545
Black,1999,Maryland,1503532
Black,1999,Massachusetts,416891
Black,1999,Michigan,1455082
Black,1999,Minnesota,182425
Black,1999,Mississippi,1038253
Black,1999,Missouri,642019
Black,1999,Montana,3110
Black,1999,Nebraska,72024
Black,1999,Nevada,143853
Black,1999,New Hampshire,10565
Black,1999,New Jersey,1231242
Black,1999,New Mexico,42091
Black,1999,New York,3410768
Black,1999,North Carolina,1758625
Black,1999,Ohio,1347742
Black,1999,Oklahoma,277057
Black,1999,Oregon,66369
Black,1999,Pennsylvania,1279925
Black,1999,Rhode Island,62303
Black,1999,South Carolina,1192652
Black,1999,South Dakota,4749
Black,1999,Tennessee,939791
Black,1999,Texas,2461293
Black,1999,Utah,21374
Black,1999,Vermont,3535
Black,1999,Virginia,1422517
Black,1999,Washington,222319
Black,1999,West Virginia,59775
Black,1999,Wisconsin,315230
Black,1999,Wyoming,4250
Black,2000,Alabama,1167623
Black,2000,Alaska,26649
Black,2000,Arizona,183298
Black,2000,Arkansas,425864
Black,2000,California,2516935
Black,2000,Colorado,188402
Black,2000,Connecticut,347678
Black,2000,Delaware,157045
Black,2000,District of Columbia,353632
Black,2000,Florida,2468478
Black,2000,Georgia,2395234
Black,2000,Hawaii,30498
Black,2000,Idaho,7580
Black,2000,Illinois,1933802
Black,2000,Indiana,533138
Black,2000,Iowa,70138
Black,2000,Kansas,167269
Black,2000,Kentucky,307871
Black,2000,Louisiana,1468317
Black,2000,Maine,8720
Black,2000,Maryland,1524783
Black,2000,Massachusetts,426216
Black,2000,Michigan,1463500
Black,2000,Minnesota,195026
Black,2000,Mississippi,1041069
Black,2000,Missouri,649528
Black,2000,Montana,3973
Black,2000,Nebraska,74476
Black,2000,Nevada,149647
Black,2000,New Hampshire,11521
Black,2000,New Jersey,1241469
Black,2000,New Mexico,42745
Black,2000,New York,3434584
Black,2000,North Carolina,1775634
Black,2000,North Dakota,4936
Black,2000,Ohio,1359717
Black,2000,Oklahoma,279982
Black,2000,Oregon,69151
Black,2000,Pennsylvania,1293698
Black,2000,Rhode Island,64893
Black,2000,South Carolina,1199993
Black,2000,South Dakota,6111
Black,2000,Tennessee,950101
Black,2000,Texas,2489759
Black,2000,Utah,23063
Black,2000,Virginia,1438727
Black,2000,Washington,230096
Black,2000,West Virginia,60889
Black,2000,Wisconsin,322099
Black,2000,Wyoming,4701
Black,2001,Alabama,1177479
Black,2001,Alaska,27347
Black,2001,Arizona,194201
Black,2001,Arkansas,429929
Black,2001,California,2547829
Black,2001,Colorado,196376
Black,2001,Connecticut,355440
Black,2001,Delaware,162206
Black,2001,District of Columbia,349536
Black,2001,Florida,2553214
Black,2001,Georgia,2468186
Black,2001,Hawaii,32533
Black,2001,Idaho,8553
Black,2001,Illinois,1940249
Black,2001,Indiana,545974
Black,2001,Iowa,73183
Black,2001,Kansas,169671
Black,2001,Kentucky,314168
Black,2001,Louisiana,1475975
Black,2001,Maine,9944
Black,2001,Maryland,1561491
Black,2001,Massachusetts,441594
Black,2001,Michigan,1477489
Black,2001,Minnesota,208738
Black,2001,Mississippi,1046375
Black,2001,Missouri,661223
Black,2001,Montana,4510
Black,2001,Nebraska,76777
Black,2001,Nevada,161746
Black,2001,New Hampshire,12863
Black,2001,New Jersey,1257274
Black,2001,New Mexico,44060
Black,2001,New York,3457658
Black,2001,North Carolina,1814985
Black,2001,Ohio,1381459
Black,2001,Oklahoma,282978
Black,2001,Oregon,72006
Black,2001,Pennsylvania,1311557
Black,2001,Rhode Island,67729
Black,2001,South Carolina,1214753
Black,2001,South Dakota,6886
Black,2001,Tennessee,967178
Black,2001,Texas,2551645
Black,2001,Utah,25050
Black,2001,Virginia,1462901
Black,2001,Washington,239036
Black,2001,West Virginia,61171
Black,2001,Wisconsin,331554
Black,2001,Wyoming,5030
Black,2002,Alabama,1182591
Black,2002,Alaska,28157
Black,2002,Arizona,204176
Black,2002,Arkansas,432330
Black,2002,California,2567326
Black,2002,Colorado,201149
Black,2002,Connecticut,363022
Black,2002,Delaware,166583
Black,2002,District of Columbia,346080
Black,2002,Florida,2627531
Black,2002,Georgia,2522522
Black,2002,Hawaii,33918
Black,2002,Idaho,9279
Black,2002,Illinois,1942243
Black,2002,Indiana,555017
Black,2002,Iowa,75770
Black,2002,Kansas,171790
Black,2002,Kentucky,318571
Black,2002,Louisiana,1485575
Black,2002,Maine,11105
Black,2002,Maryland,1592833
Black,2002,Massachusetts,453484
Black,2002,Michigan,1483051
Black,2002,Minnesota,219791
Black,2002,Mississippi,1049194
Black,2002,Missouri,669160
Black,2002,Montana,4845
Black,2002,Nebraska,78371
Black,2002,Nevada,171629
Black,2002,New Hampshire,13776
Black,2002,New Jersey,1268823
Black,2002,New Mexico,45707
Black,2002,New York,3467250
Black,2002,North Carolina,1844291
Black,2002,North Dakota,5936
Black,2002,Ohio,1397560
Black,2002,Oklahoma,285840
Black,2002,Oregon,74540
Black,2002,Pennsylvania,1329750
Black,2002,Rhode Island,70465
Black,2002,South Carolina,1222658
Black,2002,South Dakota,7573
Black,2002,Tennessee,980256
Black,2002,Texas,2602237
Black,2002,Utah,26645
Black,2002,Vermont,4945
Black,2002,Virginia,1480645
Black,2002,Washington,245869
Black,2002,West Virginia,61832
Black,2002,Wisconsin,339499
Black,2002,Wyoming,5234
Black,2003,Alabama,1190183
Black,2003,Alaska,28196
Black,2003,Arizona,213993
Black,2003,Arkansas,435025
Black,2003,California,2585567
Black,2003,Colorado,203049
Black,2003,Connecticut,370417
Black,2003,Delaware,171022
Black,2003,District of Columbia,340751
Black,2003,Florida,2700143
Black,2003,Georgia,2571491
Black,2003,Hawaii,33385
Black,2003,Idaho,9994
Black,2003,Illinois,1942340
Black,2003,Indiana,565411
Black,2003,Iowa,78647
Black,2003,Kansas,173096
Black,2003,Kentucky,322254
Black,2003,Louisiana,1496609
Black,2003,Maine,12613
Black,2003,Maryland,1621856
Black,2003,Massachusetts,464146
Black,2003,Michigan,1488590
Black,2003,Minnesota,231089
Black,2003,Mississippi,1053803
Black,2003,Missouri,676844
Black,2003,Montana,5223
Black,2003,Nebraska,80408
Black,2003,Nevada,181213
Black,2003,New Hampshire,14715
Black,2003,New Jersey,1279601
